trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,3,-26.850764378567614,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,13,-53.427834678374715,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",25,7,-6.155750285014715,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,6,-8.739388194091678,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",25,0,-60.40054534970638,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,0,-74.84018185569619,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",35,0,-17.747350990845685,"{0: 28, 1: 4, 2: 3, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,2,-25.830964343218007,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",25,0,-28.818459509105416,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,13,-15.184128360426518,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",20,12,6.6929467918694865,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-19.46659796990922,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",25,5,-48.18394188351711,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,0,-10.82748230808818,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,0,-26.94610064394019,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,0,-89.30833135484215,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",1
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",20,10,7.451296374426307,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,12,-37.095757877679354,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",30,15,5.284718786677203,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,15,6.677842108685557,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",25,0,-66.81499762783083,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,0,16.6962481726805,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",20,5,7.029631264274149,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,0,4.508822838195318,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",30,5,-19.135776125353253,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,0,-21.3457074230566,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,0,-28.589232192588057,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",25,0,-28.56153833868771,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",20,0,-59.18589541642544,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,8,-49.65983279244755,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",25,6,11.892896767273545,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,2,2.7830496801916706,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
